,LOC_GUID,ADDR_GUID,APT_NO_LABEL,CIVIC_NO,CIVIC_NO_SUFFIX,OFFICIAL_STREET_NAME,OFFICIAL_STREET_TYPE,OFFICIAL_STREET_DIR,PROV_CODE,CSD_ENG_NAME,CSD_FRE_NAME,CSD_TYPE_ENG_CODE,CSD_TYPE_FRE_CODE,MAIL_STREET_NAME,MAIL_STREET_TYPE,MAIL_STREET_DIR,MAIL_MUN_NAME,MAIL_PROV_ABVN,MAIL_POSTAL_CODE,BG_DLS_LSD,BG_DLS_QTR,BG_DLS_SCTN,BG_DLS_TWNSHP,BG_DLS_RNG,BG_DLS_MRD,BG_X,BG_Y,BU_N_CIVIC_ADD,BU_USE
0,b0b6b3c0-5af1-4075-8dda-a0ca9f37284c,73df56a1-2249-456b-8b34-ea704c47d718,,95,,Duffy,RD,,11,Stratford,Stratford,T,T,DUFFY,RD,,STRATFORD,PE,C1B1M5,,,,,,,8370491.5383,1619614.8692,,1
1,2797c4c3-52ea-4c8d-8e73-1330e2328dad,150bf1af-1e78-444d-81af-c75703a54a71,A,394,,Queen,ST,,11,Charlottetown,Charlottetown,CY,CY,QUEEN,ST,,CHARLOTTETOWN,PE,C1A4E1,,,,,,,8366416.3326,1618186.2778,,2
2,331e5ae3-8418-409c-9c95-80514ee9f7ff,a8f19ffa-17a0-4bfc-8149-f2a4472867eb,,81,,Beach Light,RD,,11,Victoria,Victoria,FD,FD,BEACH LIGHT,RD,,CRAPAUD,PE,C0A1J0,,,,,,,8341719.5141,1602513.646,,1
3,b1e2c1f7-b051-4b08-ae3f-0942a63f943d,44519dbd-fd3c-40ef-918b-57b923207601,7,16,,Rosedale,RD,,11,Three Rivers,Three Rivers,T,T,ROSEDALE,RD,,MONTAGUE,PE,C0A1R0,,,,,,,8405027.1802,1627490.9203,,1
4,88ab0247-dcdf-4f1f-92ce-f2b612b80aca,5cb042dc-038c-4c3e-9d8f-2fdd5bac9609,,55,,Harbourview,DR,,11,North Rustico,North Rustico,T,T,,,,NORTH RUSTICO,PE,,,,,,,,8343386.4852,1634222.674,,1
5,3d8722d9-3aa1-48ae-92b6-a24d7a68399b,ed082c8c-5590-49f6-a558-edd373d3dabc,,1924,,25,RTE,,11,North Shore,North Shore,RM,RM,RTE 25,,,COVEHEAD ROAD,PE,C0A1P0,,,,,,,8360646.6993,1632171.9069,RR 101,1
6,04b8c93b-6548-4b5b-bdf9-8fe5439de96f,6aa849f2-3e81-4f65-98b3-1b9b204e088d,,5,,Campbell,RD,,11,Charlottetown,Charlottetown,CY,CY,,,,CHARLOTTETOWN,PE,,,,,,,,8360814.3013,1622158.2184,,3
7,cc0cac2b-3cce-4317-b5b9-693209053f2f,65d1f56f-64dc-4d00-9d89-f85b930e1c22,,19,,Center,LANE,,11,Kinkora,Kinkora,FD,FD,,,,ALBANY,PE,C0B1A0,,,,,,,8320131.9202,1604114.0348,,1
8,2b5973ee-4a25-46f4-959d-9a109a61a644,b3391f5d-3b00-4104-9236-203c57eccd7f,,18,,Allen,ST,,11,North Rustico,North Rustico,T,T,,,,NORTH RUSTICO,PE,C0A1X0,,,,,,,8343412.4145,1634288.5709,PO BOX 301,1
9,c8a3693b-61c5-4986-828a-4ac59da78f6b,c6cda9d8-b960-45f0-9433-7cb5bffac13b,61,2,,Harbourside Access,RD,,11,Charlottetown,Charlottetown,CY,CY,HARBOURSIDE ACCESS,RD,,CHARLOTTETOWN,PE,C1A8R4,,,,,,,8367425.8778,1617600.94,,1
10,cb36728a-19d2-40e3-bfb1-40e9f5bf12ec,6c0fbeb1-b6fa-4cca-9488-f8a7f0a9849b,5,70,,Longworth,AVE,,11,Charlottetown,Charlottetown,CY,CY,LONGWORTH,AVE,,CHARLOTTETOWN,PE,C1A5A5,,,,,,,8366874.2973,1618865.3558,,1
11,d6f12fb2-b466-4e98-bfa4-e9f3450d41b5,67cce9d6-27f7-4549-a804-9e2944284215,3,263,,Grafton,ST,,11,Charlottetown,Charlottetown,CY,CY,GRAFTON,ST,,CHARLOTTETOWN,PE,C1A1L6,,,,,,,8367257.4694,1618395.2153,,2
12,74c04e2c-a05a-48c4-8ec3-a8383ffbf7c5,03be5e46-26c0-4462-84bc-1d9bbc8b44f3,,3849,,Fort Augustus - RTE 21,RD,,11,"East River, Part 1","East River, Part 1",FD,FD,FORT AUGUSTUS RD - RTE 21,,,FORT AUGUSTUS,PE,C1B2Z1,,,,,,,8377067.8531,1633415.5649,,1
13,80bba983-3b9e-48ad-8977-a1b1b459fb32,85c6c374-5800-490c-b391-e17fa791e3ea,,334,,Ascension - RTE 160,RD,,11,Tignish,Tignish,FD,FD,ASCENSION RD - RTE 160,,,TIGNISH,PE,C0B2B0,,,,,,,8266789.8419,1660079.7512,RR 2,1
14,17c9f065-b81a-466c-8b80-f5f89a20d455,47ec77ee-b04a-40e7-a8a8-cb62b80689f0,,54,,Pkwiman,RD,,11,Scotchfort 4,Scotchfort 4,IRI,IRI,PKWIMAN,RD,,SCOTCHFORT,PE,C0A1T0,,,,,,,8376104.3773,1638064.5439,,1
15,5b19dd75-f9be-4091-a869-3359b846316e,74163254-b556-4c9b-866e-9a4ad3a1a6bc,,30,,Bruce Smith,LANE,,11,West River,West River,RM,RM,BRUCE SMITH,LANE,,NEW DOMINION,PE,C0A1H6,,,,,,,8361992.7799,1607673.5864,,1
16,b994b94d-f88f-449d-bb82-0d31e8ad7c31,fdea0d60-5e1e-4c97-bff1-e03d1efde010,2,14,,Church Hill,AVE,,11,North Rustico,North Rustico,T,T,,,,NORTH RUSTICO,PE,C0A1X0,,,,,,,8343224.3656,1634291.585,,1
17,2cd51178-52b2-4504-adca-24cda2d5c52a,dac146eb-beb6-47bb-bdcd-19bb4cb72859,,878,,Northam - RTE 132,RD,,11,Tyne Valley,Tyne Valley,FD,FD,NORTHAM,RD,,TYNE VALLEY,PE,C0B2C0,,,,,,,8294500.5633,1622454.8329,RR 101,1
18,a87b0053-dd44-4e12-9112-71734750e2e8,e82245cf-957a-4a10-a09a-164d49a97020,,183,,North,DR,,11,Summerside,Summerside,CY,CY,NORTH,DR,,SUMMERSIDE,PE,C1N4E9,,,,,,,8309735.9053,1614582.7759,,1
19,dd930a36-0d4d-4dda-8ae2-a2446ff83bcd,600bcd24-f214-41f3-b444-dcff0768aa8f,,277,,Kent,ST,,11,Charlottetown,Charlottetown,CY,CY,KENT,ST,,CHARLOTTETOWN,PE,C1A1P4,,,,,,,8367179.899,1618526.2195,,2
